"task_id","batch_id","dataset_id","geometry_family","n","p","method","chart_dim_rule","backend_variant","design_basis","design_drop_tol","ridge_multiplier_grid","ridge_condition_max","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","finite_cv_candidates","total_cv_candidates","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","frame_cols_min","frame_cols_median","frame_cols_max","frame_kept_min","frame_kept_median","frame_kept_max","ridge_multiplier_selected","ridge_condition","ridge_status","elapsed_sec"
"bp7x_0001__LA_D1_RAW_N500__auto__lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,3.548
"bp7x_0002__LA_D1_RAW_N500__auto__lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,4.088
"bp7x_0003__LA_D1_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0529669133892194,0.0826791963047596,0.16269327812882,35,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,4.343
"bp7x_0004__LA_D1_RAW_N500__auto__ps_lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0256519068808614,0.0996623979513102,0.1051320560296,31,2,"tricube",30,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",60.021
"bp7x_0005__LA_D1_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0249218065941208,0.100914537370069,0.105439800447614,28,2,"tricube",90,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,41385406868.7309,"ok",823.394
"bp7x_0006__LA_D1_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0253020850591198,0.100580353859698,0.105752741713918,28,2,"tricube",90,8,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,0,1188151.51292083,"ok",142.088
"bp7x_0007__LA_D1_RAW_N500__local_auto__lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,13.167
"bp7x_0008__LA_D1_RAW_N500__local_auto__lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,14.122
"bp7x_0009__LA_D1_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0542541835229238,0.0811252972266797,0.414680708425063,34,2,"tricube",NA,21,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,12.639
"bp7x_0010__LA_D1_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0252858285073308,0.100143652734708,0.10431605155015,30,2,"tricube",90,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",77.38
